"","Category","Name","Price","Ratings","Num_of_reviews"
"49","Suitcase","Kono Lightweight Polypropylene Medium Check in Luggage with 4 Spinner Wheels TSA Lock YKK Zipper Hard Shell Travel Trolley Suitcase (White, 65cm 66L)","£38.32","4.5 out of 5 stars","1,415"
"50","Suitcase","Amazon Basics Underseat Travel Luggage / Suitcase with Telescopic Handle and 2 In-line Skate Wheels - 36 cm, Black Quilted","£68.32","4.7 out of 5 stars","8,634"
"51","Suitcase","COOLIFE Suitcase Trolley Carry On Hand Cabin Luggage Hard Shell Travel Bag Lightweight with TSA Lock and 2 Year Warranty Durable 4 Spinner Wheels (Lemon Yellow, S(56cm 38L))","£86.96","4.6 out of 5 stars","3,321"
"52","Suitcase","Eastpak Tranverz S Suitcase, 51 cm, 42 L","£130.50","4.7 out of 5 stars","4,948"
"53","Suitcase","LEVEL8 Lightweight Carry-on Suitcase,Luggage Suitcase Set, ABS+PC Hardshell Spinner Trolley for Luggage with Double TSA Locks (Black, 36L/68L/104L,3 Pcs Set)","£341.66","4.5 out of 5 stars","5,475"
"54","Suitcase","COOLIFE Hard Shell Suitcase with TSA Lock and 4 Spinner Wheels Lightweight 2 Year Warranty Durable (Turquoise Green, S(56cm 38L))","£62.95","4.6 out of 5 stars","2,415"
"55","Suitcase","COOLIFE Suitcase Trolley Carry On Hand Cabin Luggage Hard Shell Travel Bag Lightweight with TSA Lock and 2 Year Warranty Durable 4 Spinner Wheels (Moon Night Black, S(56cm 38L))","£152.10","4.6 out of 5 stars","3,321"
"56","Suitcase","American Tourister Bon Air Spinner Suitcase 66 cm, 57.5 L, Black","£265.50","4.2 out of 5 stars","13,105"
"57","Suitcase","Samsonite Neopulse - Spinner L, Suitcase, 75 cm, 94 L, Blu (Metallic Blue)","£49.08","4.5 out of 5 stars","209"
"58","Suitcase","British Traveller 28"" Large Suitcase Check in Hold Luggage Lightweight Polypropylene Hard Shell Luggage Durable Travel Suitcase with TSA Lock and 4 Spinner Wheels(White, 76cm 92L)","£66.66","4.3 out of 5 stars","438"
"59","Suitcase","Samsonite Base Boost - Spinner L Expandable Suitcase, 78 cm, 105/112.5 Litre, Black","£116.95","4.6 out of 5 stars","8,414"
"60","Suitcase","Kono Luggage Sets of 2 Piece Lightweight Polypropylene Hard Shell Suitcase with TSA Lock Spinner Wheels Travel Carry On Hand Cabin Luggage with Beauty Case (Set of 2, White)","£66.66","4.4 out of 5 stars","825"
"61","Suitcase","COOLIFE Hard Shell Suitcase with TSA Lock and 4 Spinner Wheels Lightweight 2 Year Warranty Durable (Grey, L(77cm 93L))","£66.66","4.6 out of 5 stars","2,415"
