"","Category","Name","Price","Ratings","Num_of_reviews"
"68","Handbags","Lily England Cross Body Bag Women - Over the Shoulder Bag with Adjustable Wide Strap & Chain - Versatile Crossbody Bags for Women with Multiple Pockets","£15.49","4.6 out of 5 stars","2,372"
"69","Handbags","Kipling Gabbie S Crossbody Women's","£19.99","4.7 out of 5 stars","3,436"
"70","Handbags","Miss Lulu Women Cross Body Bag Fashion Tassel Decoration Zipper Handbags Flap with Lock Closure Shoulder Bag","£27.37","4.5 out of 5 stars","2,510"
"71","Handbags","Calvin Klein Women's Elaine Bubble Lamb Novelty Satchel, One Size","£57.60","4.4 out of 5 stars","80"
"72","Handbags","NOTAG Crossbody Bags for Women, Lightweight Multi Pockets Crossbody Handbag Casual Waterproof Shoulder Bag, 2 Size (S, Black)","£78.30","4.5 out of 5 stars","14,857"
"73","Handbags","Miss Lulu Handbags for Women Cross Body Bags Ladies Fashion Shoulder Bag Girls PU Leather Top Handle Bag","£16.49","4.6 out of 5 stars","469"
"74","Handbags","Gladdon Hobo Bags for Women, Ladies Multi Pockets Top Handle Handbags, Vintage Cross-body Shoulder Satchel, Soft Leather Messenger Purse","£22.49","4.2 out of 5 stars","368"
"75","Handbags","Gladdon Hobo Bags for Women, Large Capacity Top Handle Bags with Multi Pocket, Tote Shoulder Handbags Faux Leather Crossbody Bag for Work School Travel","£79.26","4.3 out of 5 stars","670"
"76","Handbags","NICOLE&DORIS Women Top Handle Handbags Retro Crossbody Bag Ladies Fashion Shoulder Bag Purse Tote Embroidery","£81.83","4.6 out of 5 stars","1,541"
"77","Handbags","VINBAGGE Womens Leather Handbag Designer Shoulder Tote Crossbody Bag Elegant Top Handle Bag for Ladies","£14.16","4.4 out of 5 stars","251"
"78","Handbags","Roulens Small Crossbody Phone Bag for Women,PU Leather Mobile Phone Bags Card Holder Purse and Handbags,Shoulder Bag with Adjustable Strap","£22.49","4.5 out of 5 stars","4,526"
"79","Handbags","MULTIONS Women's Crossbody Bag, Multi Pocket Messenger Bag Shoulder Bag Travel Bag Handbags for Men&Women Suitable Shopping Travel Appointment Hiking Daily (M,Pink)","£19.99","4.3 out of 5 stars","548"
"80","Handbags","MISSLULU Handbags for Women Color Block Match Shoulder Bag Lightweight Handbag Medium Tote Bag","£19.99","4.1 out of 5 stars","17"
"81","Handbags","Miss Lulu Designer Handbags for Women Shoulder Bags Top Handle Bags Crossbody Bags Colour Combination (Grey&Black)","£28.99","4.6 out of 5 stars","2,612"
"82","Handbags","VOLGANIK ROCK Handbags for Women Shoulder bag for women Soft PU Leather Handbag Crossbody bag Multi Pockets Handbag shoulder bag Ladies handbags Travel Bag","£29.99","4.4 out of 5 stars","772"
"83","Handbags","Miss Lulu Handbag for Women, Woven and Chevron Pattern, M Logo on the Front, Top Handle or Shoulder Bag, Golden Hardware","£24.99","4.5 out of 5 stars","4,993"
"84","Handbags","Jocose Moose Women Handbag Laptop Tote Bag Large PU Leather Shoulder Bag Designer Lightweight Computer Tote Bag, Gift with a Ladies Purse","£12.74","4.4 out of 5 stars","3,176"
"85","Handbags","Miss Lulu Leather Tote Handbags for Women Ladies Top Handle Bag Laptop Shoulder Bag Set Large Capacity Black","£16.66","4.3 out of 5 stars","3,123"
"86","Handbags","ACNCN Ladies Handbags, Women Fashion PU Leather Top Handle Satchel Shoulder Tote Bags","£10.49","4.0 out of 5 stars","81"
"87","Handbags","Kono Messenger Shoulder Bag for Women, Multi Pockets Ladies Handbag Waterproof Casual Crossbody Bag for Shopping Travel Daily","£12.91","4.3 out of 5 stars","485"
"88","Handbags","MISS LULU Shoulder Bag for Women Fashion Handbag, Three Compartment, Can Hold 9.7' Tablet","£17.91","4.5 out of 5 stars","42"
"89","Handbags","LIRENSHIGE Handbags for Women, Tote Bag Soft PU Leather Large Capacity Ladies Handbag Womens Top Handle Shoulder Bag For women Black Handbag","£19.94","4.2 out of 5 stars","409"
"90","Handbags","Miss Lulu Women Fashion Handbag Shoulder Bag Purse Faux Leather Tote 3 Piece","£15.82","4.4 out of 5 stars","5,428"
"91","Handbags","MORGLOVE Women's Tote Bag Large Handbag Soft Leather Simple Shoulder Bag with Zipper for School Work Leisure (A-Black)","£10.82","4.1 out of 5 stars","1,756"
"92","Handbags","haipky Women Handbag Top Handle Elegant Embroidery Shoulder Bags Classic Shopper Ladies Crossbody Handbags","£18.32","4.6 out of 5 stars","70"
"93","Handbags","Miss Lulu Women Tote Bag, Soft PU Leather Shoulder Bag, Fashion Large Handbag for Working Ladies, Simple Elegant Gift for Office Travel School Library Shopping","£16.66","4.3 out of 5 stars","48"
"94","Handbags","Mabel London Womens Multiple Pockets Handbag - Medium Size Multi Compartments Bag","£24.99","4.4 out of 5 stars","4,024"
"95","Handbags","Pomelo Best Handbags for Ladies with Multiple Interior Pockets and Pretty Colour Combination (Brown/Grey)","£21.66","4.7 out of 5 stars","6,635"
"96","Handbags","Miss Lulu Handbag for Women, Woven and Chevron Pattern, M Logo on the Front, Top Handle or Shoulder Bag, Golden Hardware","£24.16","4.5 out of 5 stars","4,993"
"97","Handbags","Miss Lulu Women Fashion Handbag Shoulder Bag Purse Faux Leather Tote 3 Piece","£24.99","4.4 out of 5 stars","5,428"
"98","Handbags","Mabel London Womens Multiple Pockets Handbag - Medium Size Multi Compartments Bag","£13.32","4.4 out of 5 stars","4,024"
"99","Handbags","KALIDI Thicken Corduroy Totes Bag Extra Large Capacity Handbags Shoulder Bags with Zipper Cord Tote Bag for Women Ladies Girls Casual Shopping Bag for Work School College Daily Use","£31.99","4.5 out of 5 stars","2,681"
"100","Handbags","NICOLE & DORIS 2024 New Handbags for women Fashion Ladies Handbags & Shoulder Bags Designer Top Handle Bag with Pompom Grey","£10.82","4.3 out of 5 stars","5,000"
